item,condition,disambPositionAmb,disambPositionUnamb,ambiguity,disambPosition_0idx,sentence_ambiguous,sentence_gp,sentence_post
1,NPS_UAMB,6,7,ambiguous,5,The suspect showed the file,The suspect hid the file,The suspect said the file
1,NPZ_UAMB,7,7,ambiguous,6,Because the suspect changed the file,Because the suspect altered the file,Because the suspect lied the file
1,MVRR_UAMB,6,8,ambiguous,5,The suspect sent the file,The suspect destroyed the file,The suspect shown the file
2,NPS_UAMB,7,8,ambiguous,6,The corrupt politician mentioned the bill,The corrupt politician signed the bill,The corrupt politician said the bill
2,NPZ_UAMB,8,8,ambiguous,7,After the corrupt politician signed the bill,After the corrupt politician rejected the bill,After the corrupt politician arrived the bill
2,MVRR_UAMB,7,9,ambiguous,6,The corrupt politician handed the bill,The corrupt politician rejected the bill,The corrupt politician given the bill
3,NPS_UAMB,6,7,ambiguous,5,The woman maintained the mail,The woman received the mail,The woman said the mail
3,NPZ_UAMB,7,7,ambiguous,6,After the woman moved the mail,After the woman shredded the mail,After the woman departed the mail
3,MVRR_UAMB,6,8,ambiguous,5,The woman brought the mail,The woman moved the mail,The woman shown the mail
4,NPS_UAMB,6,7,ambiguous,5,The boy found the chicken,The boy rescued the chicken,The boy thought the chicken
4,NPZ_UAMB,7,7,ambiguous,6,Although the boy attacked the chicken,Although the boy grabbed the chicken,Although the boy died the chicken
4,MVRR_UAMB,6,8,ambiguous,5,The boy fed the chicken,The boy ate the chicken,The boy given the chicken
5,NPS_UAMB,7,8,ambiguous,6,The new doctor demonstrated the operation,The new doctor tried the operation,The new doctor thought the operation
5,NPZ_UAMB,8,8,ambiguous,7,After the new doctor left the operation,After the new doctor abandoned the operation,After the new doctor departed the operation
5,MVRR_UAMB,7,9,ambiguous,6,The new doctor offered the operation,The new doctor gave the operation,The new doctor given the operation
6,NPS_UAMB,6,7,ambiguous,5,The professor noticed the grant,The professor won the grant,The professor said the grant
6,NPZ_UAMB,7,7,ambiguous,6,After the professor read the grant,After the professor won the grant,After the professor came the grant
6,MVRR_UAMB,6,8,ambiguous,5,The professor awarded the grant,The professor gave the grant,The professor given the grant
7,NPS_UAMB,6,7,ambiguous,5,The technician reported the service,The technician reset the service,The technician complained the service
7,NPZ_UAMB,7,7,ambiguous,6,After the technician called the service,After the technician contacted the service,After the technician came the service
7,MVRR_UAMB,6,8,ambiguous,5,The technician refused the service,The technician terminated the service,The technician given the service
8,NPS_UAMB,6,7,ambiguous,5,The mechanic observed the truck,The mechanic watched the truck,The mechanic thought the truck
8,NPZ_UAMB,7,7,ambiguous,6,Because the mechanic stopped the truck,Because the mechanic broke the truck,Because the mechanic waited the truck
8,MVRR_UAMB,6,8,ambiguous,5,The mechanic brought the truck,The mechanic drove the truck,The mechanic shown the truck
9,NPS_UAMB,6,7,ambiguous,5,The guitarist knew the song,The guitarist wrote the song,The guitarist said the song
9,NPZ_UAMB,7,7,ambiguous,6,After the guitarist began the song,After the guitarist ruined the song,After the guitarist arrived the song
9,MVRR_UAMB,6,8,ambiguous,5,The guitarist assigned the song,The guitarist gave the song,The guitarist sung the song
10,NPS_UAMB,6,7,ambiguous,5,The player revealed the bonus,The player said the bonus,The player complained the bonus
10,NPZ_UAMB,7,7,ambiguous,6,Although the player lost the bonus,Although the player rejected the bonus,Although the player disappeared the bonus
10,MVRR_UAMB,6,8,ambiguous,5,The player paid the bonus,The player spent the bonus,The player given the bonus
11,NPS_UAMB,7,8,ambiguous,6,The recent hire claimed the job,The recent hire did the job,The recent hire said the job
11,NPZ_UAMB,8,8,ambiguous,7,Once the recent hire started the job,Once the recent hire got the job,Once the recent hire arrived the job
11,MVRR_UAMB,7,9,ambiguous,6,The recent hire offered the job,The recent hire loved the job,The recent hire given the job
12,NPS_UAMB,7,8,ambiguous,6,The assistant manager discovered the training,The assistant manager hated the training,The assistant manager thought the training
12,NPZ_UAMB,8,8,ambiguous,7,While the assistant manager worked the training,While the assistant manager did the training,While the assistant manager remained the training
12,MVRR_UAMB,7,9,ambiguous,6,The assistant manager assigned the training,The assistant manager gave the training,The assistant manager shown the training
13,NPS_UAMB,6,7,ambiguous,5,The mayor showed the document,The mayor displayed the document,The mayor said the document
13,NPZ_UAMB,7,7,ambiguous,6,Although the mayor changed the document,Although the mayor forged the document,Although the mayor vanished the document
13,MVRR_UAMB,6,8,ambiguous,5,The mayor sent the document,The mayor discarded the document,The mayor given the document
14,NPS_UAMB,7,8,ambiguous,6,The basketball player mentioned the contract,The basketball player signed the contract,The basketball player said the contract
14,NPZ_UAMB,8,8,ambiguous,7,After the basketball player signed the contract,After the basketball player rejected the contract,After the basketball player died the contract
14,MVRR_UAMB,7,9,ambiguous,6,The basketball player handed the contract,The basketball player signed the contract,The basketball player shown the contract
15,NPS_UAMB,6,7,ambiguous,5,The engineer maintained the equipment,The engineer monitored the equipment,The engineer said the equipment
15,NPZ_UAMB,7,7,ambiguous,6,After the engineer moved the equipment,After the engineer broke the equipment,After the engineer died the equipment
15,MVRR_UAMB,6,8,ambiguous,5,The engineer brought the equipment,The engineer transported the equipment,The engineer given the equipment
16,NPS_UAMB,7,8,ambiguous,6,The little girl found the lamb,The little girl adopted the lamb,The little girl thought the lamb
16,NPZ_UAMB,8,8,ambiguous,7,When the little girl attacked the lamb,When the little girl grabbed the lamb,When the little girl jumped the lamb
16,MVRR_UAMB,7,9,ambiguous,6,The little girl fed the lamb,The little girl helped the lamb,The little girl given the lamb
17,NPS_UAMB,7,8,ambiguous,6,The yoga instructor demonstrated the position,The yoga instructor performed the position,The yoga instructor said the position
17,NPZ_UAMB,8,8,ambiguous,7,Before the yoga instructor left the position,Before the yoga instructor performed the position,Before the yoga instructor departed the position
17,MVRR_UAMB,7,9,ambiguous,6,The yoga instructor offered the position,The yoga instructor proposed the position,The yoga instructor given the position
18,NPS_UAMB,6,7,ambiguous,5,The governor noticed the contract,The governor approved the contract,The governor said the contract
18,NPZ_UAMB,7,7,ambiguous,6,While the governor read the contract,While the governor denounced the contract,While the governor slept the contract
18,MVRR_UAMB,6,8,ambiguous,5,The governor awarded the contract,The governor approved the contract,The governor given the contract
19,NPS_UAMB,6,7,ambiguous,5,The patient reported the treatment,The patient rejected the treatment,The patient said the treatment
19,NPZ_UAMB,7,7,ambiguous,6,Before the patient called the treatment,Before the patient received the treatment,Before the patient slept the treatment
19,MVRR_UAMB,6,8,ambiguous,5,The patient refused the treatment,The patient denounced the treatment,The patient given the treatment
20,NPS_UAMB,6,7,ambiguous,5,The operator observed the machine,The operator watched the machine,The operator said the machine
20,NPZ_UAMB,7,7,ambiguous,6,Once the operator stopped the machine,Once the operator broke the machine,Once the operator departed the machine
20,MVRR_UAMB,6,8,ambiguous,5,The operator brought the machine,The operator transported the machine,The operator shown the machine
21,NPS_UAMB,6,7,ambiguous,5,The dancer knew the ballet,The dancer danced the ballet,The dancer though the ballet
21,NPZ_UAMB,7,7,ambiguous,6,Once the dancer began the ballet,Once the dancer loved the ballet,Once the dancer arrived the ballet
21,MVRR_UAMB,6,8,ambiguous,5,The dancer assigned the ballet,The dancer hated the ballet,The dancer given the ballet
22,NPS_UAMB,6,7,ambiguous,5,The contestant revealed the money,The contestant lost the money,The contestant said the money
22,NPZ_UAMB,7,7,ambiguous,6,After the contestant lost the money,After the contestant wasted the money,After the contestant died the money
22,MVRR_UAMB,6,8,ambiguous,5,The contestant paid the money,The contestant lost the money,The contestant given the money
23,NPS_UAMB,7,8,ambiguous,6,The new chef claimed the restaurant,The new chef wanted the restaurant,The new chef said the restaurant
23,NPZ_UAMB,8,8,ambiguous,7,Once the new chef started the restaurant,Once the new chef opened the restaurant,Once the new chef arrived the restaurant
23,MVRR_UAMB,7,9,ambiguous,6,The new chef offered the restaurant,The new chef owned the restaurant,The new chef given the restaurant
24,NPS_UAMB,7,8,ambiguous,6,The apprentice baker discovered the oven,The apprentice baker opened the oven,The apprentice baker thought the oven
24,NPZ_UAMB,8,8,ambiguous,7,When the apprentice baker worked the oven,When the apprentice baker baked the oven,When the apprentice baker emerged the oven
24,MVRR_UAMB,7,9,ambiguous,6,The apprentice baker assigned the oven,The apprentice baker used the oven,The apprentice baker given the oven
